ID;LAT;LON;DEP;X;Y;Z;EX;EY;EZ;YR;MO;DY;HR;MI;SC;MAG;NCCP;NCCS;NCTP;NCTS;RCC;RCT;CID;;;ID_old;Date;MW;CCC
46;0;0;0;152;425;226;10;14;6;2014;4;30;15;17;20;0.86;;;;;;;;;;2.01404E+13;30.04.14;1.41;0.93
47;0;0;0;193;381;250;15;18;8;2014;4;30;15;33;54;0.48;;;;;;;;;;2.01404E+13;30.04.14;1.16;0.98
48;0;0;0;283;151;182;18;21;8;2014;5;5;9;53;3;0.24;;;;;;;;;;2.01405E+13;05.05.14;1;0.85
49;0;0;0;206;30;116;10;14;6;2014;5;8;4;26;16;0.6;;;;;;;;;;2.01405E+13;08.05.14;1.23;0.94
50;0;0;0;191;34;108;9;11;6;2014;5;10;1;12;45;1.68;;;;;;;;;;2.01405E+13;10.05.14;1.95;0.92
51;0;0;0;216;116;128;9;16;6;2014;5;10;1;43;49;2.68;;;;;;;;;;2.01405E+13;10.05.14;2.61;0.72
52;0;0;0;210;258;186;10;11;6;2014;5;10;1;50;30;1.35;;;;;;;;;;2.01405E+13;10.05.14;1.73;0.91
53;0;0;0;165;222;123;9;14;6;2014;5;10;1;52;9;0.32;;;;;;;;;;2.01405E+13;10.05.14;1.05;0.9
54;0;0;0;161;275;153;10;14;6;2014;5;10;1;59;30;0.84;;;;;;;;;;2.01405E+13;10.05.14;1.39;0.86
55;0;0;0;156;33;98;9;16;7;2014;5;11;17;27;51;2.05;;;;;;;;;;2.01405E+13;11.05.14;2.2;0.93
56;0;0;0;134;127;82;9;14;6;2014;5;17;20;27;30;0.68;;;;;;;;;;2.01405E+13;17.05.14;1.29;0.94
57;0;0;0;136;106;83;9;14;6;2014;5;17;20;30;51;0.84;;;;;;;;;;2.01405E+13;17.05.14;1.4;0.86
58;0;0;0;186;-4;113;9;14;6;2014;5;18;2;58;43;1.12;;;;;;;;;;2.01405E+13;18.05.14;1.58;1
